SSID,BSSID,Encryption,latitude,longitude,Channel,Frequency,Last Update
Vendor,7C:FF:4D:88:FA:CA,wpa2,31.88432146,-102.3030331,1,,2024-01-28T18:28:40.000Z
SpectrumSetup-FF,CE:94:35:C8:F4:51,wpa2,31.88918209,-102.3004524,2,,2005-06-20T14:27:35.000Z
MarriottBonvoy,C8:0E:14:37:84:1A,wpa2,31.89644884,-102.3114756,11,,2023-06-13T22:31:50.000Z
FRITZ!Box 7330 SL,6C:CD:D6:B2:8D:10,wpa2,31.88893852,-102.3101087,11,,2018-09-30T10:55:11.000Z
HUAWEI P10,B8:F8:53:BC:6B:72,wpa2,31.8953405,-102.3066743,8,,2023-01-27T13:00:26.000Z
Wireless-N,BE:D7:D4:17:CA:FA,wpa,31.8946934,-102.3021376,11,,2024-04-07T00:54:50.000Z
Family Room TV,62:45:B7:18:95:33,wpa,31.89290887,-102.2991593,6,,2009-03-12T13:58:09.000Z
SFR WiFi Public,7C:39:53:95:98:CC,wpa2,31.88669762,-102.3070459,6,,2020-11-07T03:59:42.000Z
FreeWifi_secure,90:9A:4A:34:24:F0,wpa2,31.88598003,-102.3029497,6,,2024-10-13T16:06:37.000Z
SpectrumSetup-D0,AE:22:15:33:53:6E,wpa2,31.89077983,-102.3044339,6,,2018-09-13T23:02:28.000Z
BROADCOM_GUEST_1_5,D4:20:B0:2F:E7:71,wpa2,31.89398804,-102.3013588,6,,2013-07-24T20:50:39.000Z
NETGEAR42,76:83:C2:F8:B1:71,wpa2,31.89485986,-102.2988848,6,,2014-05-07T23:08:44.000Z
Apple,A0:F3:C1:24:2B:7D,wpa2,31.88852328,-102.3104291,6,,2021-05-08T01:42:31.000Z
SFR WiFi Public,E2:55:7D:9D:FB:31,wpa,31.88635018,-102.3039296,11,,2022-01-02T22:51:36.000Z
zg0104p1,00:FC:8D:47:EE:89,wpa2,31.88296614,-102.3065509,6,,2014-11-22T12:45:58.000Z
""" (Cloaked)",B0:39:56:B9:00:2D,wpa2,31.88706738,-102.3045792,11,,2011-10-03T21:00:30.000Z
KD WLAN Hotspot+,00:18:4D:C1:A0:18,wpa,31.8935216,-102.3054932,9,,2018-08-09T04:23:19.000Z
NETGEAR82,AE:70:5D:2A:1D:7E,wpa2,31.89169439,-102.3098353,11,,2023-08-10T03:26:24.000Z
NETGEAR,00:1A:70:AD:7E:C9,wpa2,31.89605615,-102.3061287,11,,2007-08-07T04:09:17.000Z
Visitor,00:1C:F0:8E:F3:A3,wpa,31.89674288,-102.3078462,11,,2024-06-16T04:20:31.000Z
Marriott_Guest,A8:D3:F7:34:2B:F4,wpa2,31.88800177,-102.3071625,1,,2017-03-04T15:12:21.000Z
EdiMAX,20:10:7A:7A:0D:01,none,31.89577176,-102.3089076,5,,2021-08-31T01:18:57.000Z
CtLsIiClK,BE:D7:D4:F3:B0:EA,wpa2,31.8951521,-102.309946,6,,2012-01-21T09:53:49.000Z
Iteris_vectorR000172562374,BA:A5:35:A5:7E:71,wpa,31.89636327,-102.3078117,6,,2024-05-21T17:14:54.000Z
xfinitywifi,86:2A:A8:FB:32:D3,wpa2,31.89597799,-102.2993502,1,,2015-01-26T16:37:08.000Z
Mi Phone,A0:BD:CD:4C:55:4C,wpa,31.88622006,-102.3091951,13,,2014-05-31T09:43:27.000Z
BROADCOM_GUEST_0_3,AC:DB:48:15:66:01,none,31.88814851,-102.2982442,6,,2015-01-22T17:23:01.000Z
wmdemo,F4:06:8D:BC:E7:07,wpa,31.88292807,-102.3078436,3,,2022-03-11T10:28:48.000Z
NETGEAR87,4C:AB:F8:BD:55:C5,wpa2,31.89262807,-102.3131087,6,,2020-02-18T08:36:26.000Z
Iteris_vectorR000172542049,80:8D:B7:11:C3:9F,wpa2,31.89675694,-102.2973541,13,,2023-09-22T07:02:36.000Z
Redmi Note 10S,00:3A:99:4F:72:66,wpa2,31.89703424,-102.2994417,4,,2024-08-06T11:20:45.000Z
RogersOpen,58:23:8C:49:C6:10,wpa2,31.89311167,-102.3012766,9,,2013-01-18T02:18:30.000Z
SpectrumSetup-5F,00:0F:B5:5D:EF:BC,wpa2,31.89018146,-102.301475,1,,2017-10-08T21:56:30.000Z
Redmi Note 7,C4:3D:C7:BA:66:2D,wpa,31.88862037,-102.3140958,11,,2023-05-06T16:43:06.000Z
Redmi Note 11,C0:05:C2:E9:8D:2C,wpa,31.88739643,-102.3024651,6,,2015-10-02T19:44:28.000Z
Home,B0:F2:08:66:5B:69,wpa2,31.89372552,-102.3122357,1,,2023-12-10T17:01:05.000Z
jones,FC:51:A4:9E:09:7B,wpa2,31.88326857,-102.3102237,4,,2022-06-17T10:04:56.000Z
Netgear57,E6:75:DC:8F:18:14,wpa,31.89288278,-102.2989459,2,,2019-06-01T04:36:09.000Z
MySpectrumWiFif8-2G,28:EE:52:69:EF:0F,wpa2,31.89503667,-102.3017936,6,,2021-02-12T15:44:10.000Z
Gast,42:75:C3:FF:3D:25,wpa3,31.89167989,-102.3052707,9,,2024-10-06T01:30:51.000Z
steel,B0:D8:88:1A:87:65,wpa2,31.89395577,-102.3100348,13,,2022-07-08T14:43:49.000Z
doma,2E:DC:AD:69:42:6C,wpa,31.89521906,-102.3089925,6,,2013-11-10T16:47:02.000Z
IPAD,DC:39:6F:A3:C0:91,wpa,31.88699222,-102.3130731,6,,2018-07-19T18:50:27.000Z
PROXIMUS_FON,72:74:14:A0:B7:B5,wpa2,31.89166762,-102.2974933,8,,2022-10-04T11:04:03.000Z
TSD_Mobile,00:23:69:EA:DF:58,wpa2,31.88596643,-102.3109842,11,,2017-05-23T02:27:20.000Z
SpectrumSetup-B5,5C:E2:8C:26:63:4C,wep,31.8833331,-102.3099396,1,,2023-10-24T10:25:58.000Z
DECO,08:BD:43:9B:27:D2,wpa2,31.89563044,-102.3006546,1,,2021-11-30T07:05:55.000Z
NETGEAR74-5G,E4:C3:2A:40:10:1C,wpa2,31.88273348,-102.308414,11,,2022-12-05T15:39:16.000Z
SpectrumSetup-58,84:A1:D1:BC:B8:D9,wpa2,31.88591811,-102.3054549,13,,2023-11-25T15:11:26.000Z
NETGEAR98,A8:53:7D:AD:4D:80,wep,31.88315293,-102.3022596,11,,2024-07-26T13:40:06.000Z
SpectrumSetup-41,EE:79:0A:C3:BF:00,wpa2,31.89189287,-102.3128108,11,,2021-10-16T17:04:15.000Z
HHT-WM1,40:F2:01:AB:05:78,wpa,31.89585026,-102.3102412,13,,2023-05-18T17:16:27.000Z
Netcomm Wireless,D8:0D:17:B1:79:6C,wpa2,31.88869933,-102.3006911,6,,2024-02-22T07:48:05.000Z
InS+0cK,34:31:C4:5B:D4:14,wpa2,31.88363187,-102.3095266,11,,2017-07-10T09:58:42.000Z
SpectrumSetup-D3,B0:FC:88:96:97:DA,wpa2,31.89153967,-102.3103087,11,,2022-02-28T12:24:20.000Z
Darmowe_Orange_WiFi,6C:F3:7F:00:68:95,wpa,31.88888871,-102.3087999,1,,2020-06-29T16:07:19.000Z
KPN Fon,A4:08:F5:E6:B4:BA,wpa2,31.89237978,-102.3137531,1,,2013-02-23T08:04:32.000Z
Johnson,CC:AB:2C:7B:7B:2D,wpa2,31.8946312,-102.3107873,6,,2019-09-09T15:50:39.000Z
BHN Secure,F0:B0:14:38:23:7B,wpa2,31.88303138,-102.3032274,11,,2023-06-20T12:14:49.000Z
NETGEAR84,C6:50:9C:37:1C:DD,wpa2,31.89115263,-102.306221,5,,2024-10-23T10:20:08.000Z
SpectrumSetup-67,44:E9:DD:BC:2D:37,wpa2,31.89125391,-102.3097673,7,,2015-07-21T11:39:29.000Z
PrettyFlyForAWiFi,CC:2D:21:E7:60:F6,wpa2,31.8843012,-102.3012019,11,,2024-08-04T08:21:35.000Z
NETGEAR63,C8:D7:19:81:D5:F1,wpa2,31.88615958,-102.3101614,3,,2024-05-01T18:35:18.000Z
Personal WiFi Zone,E0:91:F5:C8:EF:BE,wpa2,31.89067928,-102.3070582,6,,2022-05-25T19:48:54.000Z
H&M Free WiFi,50:67:F0:F8:83:9D,wpa2,31.88400313,-102.3091478,7,,2017-05-16T23:03:02.000Z
WiFi_OBDii,00:1F:90:0B:48:D2,wep,31.88791265,-102.3004915,7,,2020-08-15T06:19:56.000Z
eduroam,4A:5D:36:4D:BA:7F,wpa,31.89070626,-102.3050871,1,,2018-06-27T06:38:18.000Z
NOS_WIFI_Fon,F4:63:49:6A:0D:91,wpa2,31.89162776,-102.311566,6,,2009-03-27T01:26:34.000Z
0000softbank,E6:BF:FA:2E:B0:D5,wpa2,31.89622855,-102.3074082,5,,2018-02-27T16:05:26.000Z
DATA,E8:DF:70:85:47:D7,wpa2,31.88487742,-102.3011127,6,,2018-03-16T20:26:56.000Z
home2,02:CB:7A:4F:0A:85,wpa2,31.89046772,-102.2982705,3,,2024-12-03T12:00:33.000Z
store-prod,02:35:3B:22:2E:6F,wpa2,31.89450984,-102.311381,6,,2005-12-05T14:23:57.000Z
Hilton Honors,34:60:F9:4E:31:F6,wpa2,31.88423644,-102.3138979,6,,2023-06-18T12:48:50.000Z
Nunez Extended ,64:0F:28:66:7E:5C,wpa2,31.88751697,-102.3030535,11,,2022-09-17T19:38:19.000Z
wlan-ap,A0:63:91:50:EB:53,wpa,31.88906274,-102.3130125,1,,2018-07-28T10:57:36.000Z
SpectrumSetup-7B,E0:46:9A:14:AE:2E,wpa2,31.8936771,-102.2972271,1,,2018-11-16T08:32:34.000Z
SpectrumSetup-C1,F0:AB:54:A4:57:71,wpa2,31.88974648,-102.2975568,1,,2011-09-16T17:49:35.000Z
FRITZ!Box 3272,94:B4:0F:98:98:6D,wpa2,31.88887702,-102.3024867,6,,2016-08-24T20:45:29.000Z
SpectrumSetup-85,18:90:88:3C:D1:84,wpa2,31.88809726,-102.3060388,3,,2020-03-17T05:47:33.000Z
Netgear91,04:A2:22:83:DE:21,wpa,31.8828469,-102.3059177,11,,2024-09-26T20:01:15.000Z
test,10:D7:B0:9C:97:4C,wpa2,31.88817803,-102.3100577,5,,2024-07-28T05:56:25.000Z
Concrete,B4:75:0E:BA:15:8F,none,31.89241792,-102.2971074,11,,2024-06-15T19:24:31.000Z
dd-wrt,D2:21:F9:CC:B4:D4,wpa2,31.89711328,-102.3055417,6,,2024-04-08T19:33:38.000Z
Silverado,2E:D1:C6:07:02:6B,wpa3,31.88968746,-102.2990915,9,,2022-07-09T15:44:35.000Z
netgear12,D4:86:60:38:55:A0,wpa,31.89178062,-102.3100584,6,,2006-11-23T21:52:59.000Z
SpectrumSetup-8D,14:91:82:9B:8A:A7,wpa2,31.88364742,-102.3095442,6,,2023-03-12T19:33:08.000Z
SpectrumSetup-01,28:C6:8E:1A:37:23,wpa2,31.88991269,-102.2979837,11,,2023-04-16T02:57:49.000Z
MySpectrumWiFia8-2G,88:F7:C7:4D:1D:E4,wpa2,31.88885033,-102.3069331,1,,2024-09-13T17:53:36.000Z
corporate,74:9D:DC:16:F6:43,wpa,31.88761733,-102.3071123,6,,2018-06-21T11:25:45.000Z
huawei,F0:B0:52:2D:1A:0E,wpa,31.89292169,-102.3021951,6,,2019-06-14T08:34:33.000Z
sage,24:DE:C6:BA:2C:A6,wpa2,31.89694164,-102.3003652,10,,2022-07-08T02:31:25.000Z
FON_FREE_INTERNET,00:0B:86:C9:B1:9B,wpa2,31.89306125,-102.3016412,6,,2008-07-03T15:00:19.000Z
Netgear91,54:83:3A:0A:80:7E,wpa2,31.896441,-102.303535,10,,2023-01-22T21:40:31.000Z
SpectrumSetup-58,00:26:F2:F9:88:CC,wpa,31.88627311,-102.3088416,6,,2017-10-16T20:15:50.000Z
MySpectrumWiFi08-2G,46:32:C8:AA:8D:52,wpa2,31.88953418,-102.3008065,6,,2023-06-23T15:14:25.000Z
NETGEAR38,3C:B7:4B:E5:85:54,none,31.8877299,-102.2970499,1,,2016-04-05T09:18:25.000Z
NETGEAR04,52:86:8C:4C:B0:70,wpa2,31.89460077,-102.2999446,6,,2021-02-27T01:37:25.000Z
LjLr11,12:A7:93:25:25:60,wpa2,31.88361683,-102.3103633,13,,2017-01-31T03:48:51.000Z
vehicle hotspot,C4:3D:C7:33:26:65,wpa2,31.88283461,-102.3139224,1,,2022-07-08T02:39:29.000Z
SpectrumSetup-0D,B0:BE:76:33:F8:12,wpa2,31.8889474,-102.3009956,7,,2014-04-12T10:36:48.000Z
SpectrumSetup-03,08:96:D7:6F:CD:9F,wpa3,31.89068303,-102.3093785,1,,2023-11-03T00:59:47.000Z
walmartwifi,1A:05:01:90:D8:AF,wep,31.88535603,-102.3125133,4,,2023-03-20T07:54:15.000Z
Unifi,18:E8:29:E7:5F:F5,none,31.89485325,-102.2976902,9,,2023-11-16T04:19:31.000Z
SpectrumSetup-F5,00:1C:D7:6C:D5:2D,wpa,31.88996535,-102.2970698,6,,2013-07-04T14:40:41.000Z
NETGEAR46,5C:7D:7D:29:04:60,wpa2,31.88886012,-102.2976841,11,,2016-02-20T03:59:34.000Z
Dmpm49Bjfk10,62:45:B6:46:5C:BB,wpa2,31.88644155,-102.3068088,11,,2024-01-01T06:03:50.000Z
Your New Wi-Fi,50:7E:5D:05:3E:0E,wpa2,31.88925961,-102.3043269,6,,2023-12-09T16:55:39.000Z
Telstra AIR,BC:4D:FB:4B:11:BC,wpa2,31.88956187,-102.3014313,1,,2024-11-22T23:13:59.000Z
NETGEAR64,AC:A3:1E:22:DB:A0,wpa2,31.8947115,-102.3043192,6,,2024-12-01T21:18:26.000Z
IHG Connect,44:A5:6E:76:07:65,wpa2,31.8843137,-102.3057876,11,,2020-06-20T12:39:20.000Z
SpectrumSetup-30,00:25:CA:17:97:3B,wpa2,31.89533577,-102.3056263,13,,2024-06-12T02:09:53.000Z
NETGEAR77,7E:45:58:F0:03:4D,wpa,31.89060312,-102.3060078,4,,2018-03-12T02:03:36.000Z
Netgear18,06:7C:34:22:43:40,wpa2,31.88568364,-102.3015154,7,,2012-02-10T14:42:07.000Z
Concrete,70:97:41:3D:A9:E5,wpa,31.88910956,-102.2984643,1,,2019-10-10T10:20:29.000Z
Telekom-HotSpot,8C:0F:6F:CD:BF:E2,wep,31.89091235,-102.3040151,11,,2006-10-03T10:45:19.000Z
SpectrumSetup-23,34:FC:B9:2C:55:63,wpa2,31.88908044,-102.3015527,11,,2024-09-16T03:29:39.000Z
Apple,C0:83:0A:A5:72:ED,wpa,31.88522536,-102.3080865,5,,2023-07-24T08:49:42.000Z
Dom,00:1D:7E:A4:D0:EE,wpa,31.88670819,-102.3093889,11,,2009-03-22T04:58:11.000Z
My WiFi,F4:6B:EF:FE:AB:4C,wpa,31.89142572,-102.3110549,1,,2022-12-08T06:15:35.000Z
BTFON,FC:DB:21:EE:28:2E,wpa,31.88891,-102.3077331,2,,2020-12-19T23:56:14.000Z
VOIP,06:7C:34:5D:AC:4F,wpa2,31.88994897,-102.297978,1,,2019-02-11T07:08:36.000Z
My WiFi,D4:35:1D:12:3A:8E,wpa2,31.88790893,-102.3129623,6,,2015-11-29T18:25:33.000Z
Spectrum Free Trial,C0:C1:C0:58:50:69,wpa2,31.89369235,-102.2973394,7,,2012-11-14T03:33:28.000Z
Netgear09,30:91:8F:EC:CB:CA,wpa,31.88978375,-102.3066553,6,,2012-12-01T07:20:06.000Z
NETGEAR07,2C:DC:AD:FD:7C:2A,wpa,31.88922547,-102.3133364,6,,2020-07-14T17:19:21.000Z
Iteris_vectorR000172410723,DC:39:6F:F0:F8:B6,wpa3,31.89353753,-102.3042259,11,,2024-05-28T17:46:57.000Z
SYNC_00000000,00:26:B4:10:6D:84,wpa,31.88424161,-102.3089317,6,,2024-09-19T18:05:28.000Z
ATTktwAfgj,14:EB:B6:57:EA:B6,wpa2,31.89684833,-102.3122813,1,,2024-10-12T06:49:07.000Z
ATTyNamW8t,3C:5C:F1:C8:AD:74,wpa2,31.88574909,-102.3079269,6,,2024-07-13T17:09:54.000Z
staff,18:83:BF:14:20:50,wpa2,31.89609673,-102.3077124,1,,2024-01-10T06:38:08.000Z
Guest-Passpoint,98:DA:C4:56:43:FE,wpa,31.89044832,-102.3034535,11,,2011-04-02T03:52:29.000Z
SpectrumSetup-D8,9C:0B:05:DA:74:77,wpa2,31.88781762,-102.3123723,6,,2018-05-15T11:42:15.000Z
Wi2_club,38:70:0C:FA:9D:2A,wpa,31.88427554,-102.307301,5,,2008-05-17T15:58:11.000Z
BRCD25329,3C:7C:3F:13:5D:59,wpa2,31.8910384,-102.3045803,3,,2013-09-01T23:24:01.000Z
NETGEAR90,F4:EC:38:D2:EB:50,wpa2,31.88642908,-102.3121158,9,,2013-04-05T00:40:47.000Z
Spectrum Free Trial,00:26:5A:18:83:E8,wpa2,31.88772354,-102.3044478,6,,2021-09-27T00:01:47.000Z
coxwifi,90:58:51:FD:13:03,wpa2,31.89469323,-102.3043511,11,,2018-02-11T22:37:23.000Z
eero,94:A6:7E:83:99:A0,wpa2,31.8961453,-102.3090742,6,,2013-07-01T04:13:56.000Z
SpectrumSetup-F0,B0:4E:26:10:FC:9C,wpa,31.88398689,-102.3134624,6,,2016-01-31T15:59:37.000Z
notyourwifi,64:0F:28:41:89:FC,wpa3,31.89520422,-102.3073138,11,,2024-10-02T21:48:20.000Z
Wi2_club,B8:EE:0E:6A:E6:37,wpa2,31.89471187,-102.3115607,8,,2022-01-04T20:16:02.000Z
NETGEAR86,78:CD:8E:BF:2D:6D,wpa2,31.88813096,-102.3123561,6,,2022-05-20T19:44:33.000Z
ncpsp,7C:39:53:2A:95:6A,wpa,31.89223642,-102.306168,6,,2016-01-10T14:47:31.000Z
MySpectrumWiFib0-5G,70:03:7E:41:0F:1C,wpa2,31.88771314,-102.3072448,7,,2016-03-10T04:28:22.000Z
NETGEAR13,62:45:B8:AB:C2:D9,wpa2,31.8849079,-102.3122603,1,,2022-07-23T04:24:36.000Z
SpectrumSetup-41,00:12:17:57:3E:6D,wpa2,31.89609689,-102.2971724,8,,2021-08-31T18:24:29.000Z
ATTktwAfgj,80:B9:7A:47:E1:3D,wpa2,31.88330086,-102.3011268,11,,2019-08-08T22:54:38.000Z
CVSConnect,D2:40:EF:AA:B7:0C,wpa3,31.88879027,-102.3019415,6,,2022-09-18T15:03:21.000Z
SpectrumSetup-1B,00:26:F2:28:40:89,wpa,31.89451835,-102.3005864,11,,2024-10-15T20:34:42.000Z
NETGEAR59,80:B9:7A:CC:D4:1F,wpa2,31.88634233,-102.3067233,11,,2024-02-01T17:31:36.000Z
Sitecom,D4:5D:DF:AF:10:C7,wpa,31.89074738,-102.3115018,6,,2024-11-15T08:21:35.000Z
Home WiFi,22:B0:01:3D:E3:F2,wpa2,31.88377298,-102.3082076,3,,2018-07-05T06:36:08.000Z
NETGEAR69-5G,9C:53:22:82:F8:48,wpa3,31.89307986,-102.3059194,6,,2023-07-24T23:11:39.000Z
SpectrumSetup-89,CC:35:40:7E:7A:C6,wpa2,31.89659121,-102.3067141,9,,2019-10-16T12:34:48.000Z
My WiFi,F4:CA:E5:87:CF:58,wpa2,31.89514363,-102.298006,1,,2022-05-24T08:22:17.000Z
ATTZzgtmlk,4C:AB:F8:25:1F:C8,wpa2,31.88746673,-102.3110266,11,,2005-01-21T16:15:04.000Z
hhonors,7E:67:0E:28:19:B6,wpa2,31.8904403,-102.3027749,5,,2018-03-02T09:46:49.000Z
DIR-620,1C:28:AF:11:A3:0A,wpa2,31.89571958,-102.2995244,1,,2007-01-13T18:01:19.000Z
Bright House Networks,7C:4C:A5:9B:DA:75,wpa2,31.89443925,-102.3121091,11,,2020-01-17T22:11:00.000Z
PrettyFlyForAWiFi,F2:9F:C2:66:C5:DB,wpa2,31.88500942,-102.3111587,2,,2024-04-24T04:44:07.000Z
Lowes-Guest-WiFi,02:18:4A:04:4C:19,wpa2,31.88320737,-102.3116697,6,,2023-10-12T19:56:31.000Z
WOW FI - FASTWEB,00:0C:F6:75:F1:2E,wpa3,31.88927982,-102.2976603,11,,2015-02-13T12:53:37.000Z
<Hidden Network>,20:10:7A:B0:64:84,wpa2,31.89199753,-102.3053342,11,,2020-08-13T05:27:03.000Z
UBNT,3E:2D:9E:53:83:78,wpa2,31.8905714,-102.301902,12,,2015-03-03T17:51:46.000Z
04 and desert you,34:2C:C4:D6:E3:60,wpa2,31.89109973,-102.3115267,10,,2024-08-05T17:20:39.000Z
MobileConnect,4A:EB:62:79:78:DE,wpa3,31.89482645,-102.3108902,11,,2022-11-15T21:49:42.000Z
Home Network,48:4B:D4:4C:07:88,wpa2,31.89330172,-102.3067961,1,,2023-02-25T21:25:17.000Z
04 and desert you,B4:B0:24:87:DC:A7,wpa,31.89551229,-102.3128985,1,,2017-08-25T17:23:55.000Z
NETGEAR85,00:25:3C:AD:D9:58,wpa3,31.89041477,-102.3029188,1,,2024-11-07T20:35:12.000Z
